OBJECTID,StationID,Direction,Volume,DateTime,ABPair,DateTimeTxt,State,Sta_Dir,DateTime2,DateTime1
525546,P0042,N,116,2011/05/26 01:00:00+00,4560345792,5/26/2011 1:00 AM,MD,P0042_N,05/26/2011 01:00 AM,05/26/2011 01:00
525547,P0042,N,118,2011/05/26 02:00:00+00,4560345792,5/26/2011 2:00 AM,MD,P0042_N,05/26/2011 02:00 AM,05/26/2011 02:00
527401,P0042,N,1817,2011/06/22 13:00:00+00,4560345792,6/22/2011 1:00 PM,MD,P0042_N,06/22/2011 13:00 PM,06/22/2011 13:00
527402,P0042,N,1956,2011/06/22 14:00:00+00,4560345792,6/22/2011 2:00 PM,MD,P0042_N,06/22/2011 14:00 PM,06/22/2011 14:00
527403,P0042,N,2288,2011/06/22 15:00:00+00,4560345792,6/22/2011 3:00 PM,MD,P0042_N,06/22/2011 15:00 PM,06/22/2011 15:00
527404,P0042,N,2626,2011/06/22 16:00:00+00,4560345792,6/22/2011 4:00 PM,MD,P0042_N,06/22/2011 16:00 PM,06/22/2011 16:00
527405,P0042,N,2449,2011/06/22 17:00:00+00,4560345792,6/22/2011 5:00 PM,MD,P0042_N,06/22/2011 17:00 PM,06/22/2011 17:00
527406,P0042,N,2140,2011/06/22 18:00:00+00,4560345792,6/22/2011 6:00 PM,MD,P0042_N,06/22/2011 18:00 PM,06/22/2011 18:00
527407,P0042,N,1567,2011/06/22 19:00:00+00,4560345792,6/22/2011 7:00 PM,MD,P0042_N,06/22/2011 19:00 PM,06/22/2011 19:00
527408,P0042,N,1368,2011/06/22 20:00:00+00,4560345792,6/22/2011 8:00 PM,MD,P0042_N,06/22/2011 20:00 PM,06/22/2011 20:00
527409,P0042,N,1083,2011/06/22 21:00:00+00,4560345792,6/22/2011 9:00 PM,MD,P0042_N,06/22/2011 21:00 PM,06/22/2011 21:00
527410,P0042,N,620,2011/06/22 22:00:00+00,4560345792,6/22/2011 10:00 PM,MD,P0042_N,06/22/2011 22:00 PM,06/22/2011 22:00
527411,P0042,N,369,2011/06/22 23:00:00+00,4560345792,6/22/2011 11:00 PM,MD,P0042_N,06/22/2011 23:00 PM,06/22/2011 23:00
527412,P0042,S,190,2011/06/22 00:00:00+00,4579245603,6/22/2011 0:00,MD,P0042_S,06/22/2011 00:00 AM,06/22/2011 00:00
527413,P0042,S,109,2011/06/22 01:00:00+00,4579245603,6/22/2011 1:00 AM,MD,P0042_S,06/22/2011 01:00 AM,06/22/2011 01:00
527414,P0042,N,228,2011/07/08 00:00:00+00,4560345792,7/8/2011 0:00,MD,P0042_N,07/08/2011 00:00 AM,07/08/2011 00:00
527415,P0042,N,102,2011/07/08 01:00:00+00,4560345792,7/8/2011 1:00 AM,MD,P0042_N,07/08/2011 01:00 AM,07/08/2011 01:00
527416,P0042,N,90,2011/07/08 02:00:00+00,4560345792,7/8/2011 2:00 AM,MD,P0042_N,07/08/2011 02:00 AM,07/08/2011 02:00
527417,P0042,N,115,2011/07/08 03:00:00+00,4560345792,7/8/2011 3:00 AM,MD,P0042_N,07/08/2011 03:00 AM,07/08/2011 03:00
527418,P0042,N,188,2011/07/08 04:00:00+00,4560345792,7/8/2011 4:00 AM,MD,P0042_N,07/08/2011 04:00 AM,07/08/2011 04:00
527419,P0042,N,579,2011/07/08 05:00:00+00,4560345792,7/8/2011 5:00 AM,MD,P0042_N,07/08/2011 05:00 AM,07/08/2011 05:00
527420,P0042,N,1196,2011/07/08 06:00:00+00,4560345792,7/8/2011 6:00 AM,MD,P0042_N,07/08/2011 06:00 AM,07/08/2011 06:00
527421,P0042,N,1558,2011/07/08 07:00:00+00,4560345792,7/8/2011 7:00 AM,MD,P0042_N,07/08/2011 07:00 AM,07/08/2011 07:00
527422,P0042,N,1697,2011/07/08 08:00:00+00,4560345792,7/8/2011 8:00 AM,MD,P0042_N,07/08/2011 08:00 AM,07/08/2011 08:00
527423,P0042,N,1669,2011/07/08 09:00:00+00,4560345792,7/8/2011 9:00 AM,MD,P0042_N,07/08/2011 09:00 AM,07/08/2011 09:00
527424,P0042,N,1690,2011/07/08 10:00:00+00,4560345792,7/8/2011 10:00 AM,MD,P0042_N,07/08/2011 10:00 AM,07/08/2011 10:00
527425,P0042,N,1831,2011/07/08 11:00:00+00,4560345792,7/8/2011 11:00 AM,MD,P0042_N,07/08/2011 11:00 AM,07/08/2011 11:00
527426,P0042,N,1948,2011/07/08 12:00:00+00,4560345792,7/8/2011 12:00 PM,MD,P0042_N,07/08/2011 12:00 PM,07/08/2011 12:00
527427,P0042,N,1958,2011/07/08 13:00:00+00,4560345792,7/8/2011 1:00 PM,MD,P0042_N,07/08/2011 13:00 PM,07/08/2011 13:00
527428,P0042,N,1966,2011/07/08 14:00:00+00,4560345792,7/8/2011 2:00 PM,MD,P0042_N,07/08/2011 14:00 PM,07/08/2011 14:00
527429,P0042,N,2221,2011/07/08 15:00:00+00,4560345792,7/8/2011 3:00 PM,MD,P0042_N,07/08/2011 15:00 PM,07/08/2011 15:00
527430,P0042,N,2133,2011/07/08 16:00:00+00,4560345792,7/8/2011 4:00 PM,MD,P0042_N,07/08/2011 16:00 PM,07/08/2011 16:00
527431,P0042,N,2052,2011/07/08 17:00:00+00,4560345792,7/8/2011 5:00 PM,MD,P0042_N,07/08/2011 17:00 PM,07/08/2011 17:00
527432,P0042,N,1943,2011/07/08 18:00:00+00,4560345792,7/8/2011 6:00 PM,MD,P0042_N,07/08/2011 18:00 PM,07/08/2011 18:00
527433,P0042,N,1410,2011/07/08 19:00:00+00,4560345792,7/8/2011 7:00 PM,MD,P0042_N,07/08/2011 19:00 PM,07/08/2011 19:00
527434,P0042,N,1103,2011/07/08 20:00:00+00,4560345792,7/8/2011 8:00 PM,MD,P0042_N,07/08/2011 20:00 PM,07/08/2011 20:00
527435,P0042,N,971,2011/07/08 21:00:00+00,4560345792,7/8/2011 9:00 PM,MD,P0042_N,07/08/2011 21:00 PM,07/08/2011 21:00
527436,P0042,N,712,2011/07/08 22:00:00+00,4560345792,7/8/2011 10:00 PM,MD,P0042_N,07/08/2011 22:00 PM,07/08/2011 22:00
527437,P0042,N,531,2011/07/08 23:00:00+00,4560345792,7/8/2011 11:00 PM,MD,P0042_N,07/08/2011 23:00 PM,07/08/2011 23:00
527438,P0042,S,227,2011/07/08 00:00:00+00,4579245603,7/8/2011 0:00,MD,P0042_S,07/08/2011 00:00 AM,07/08/2011 00:00
527439,P0042,S,128,2011/07/08 01:00:00+00,4579245603,7/8/2011 1:00 AM,MD,P0042_S,07/08/2011 01:00 AM,07/08/2011 01:00
527440,P0042,S,115,2011/07/08 02:00:00+00,4579245603,7/8/2011 2:00 AM,MD,P0042_S,07/08/2011 02:00 AM,07/08/2011 02:00
527441,P0042,S,83,2011/07/08 03:00:00+00,4579245603,7/8/2011 3:00 AM,MD,P0042_S,07/08/2011 03:00 AM,07/08/2011 03:00
527442,P0042,S,210,2011/07/08 04:00:00+00,4579245603,7/8/2011 4:00 AM,MD,P0042_S,07/08/2011 04:00 AM,07/08/2011 04:00
527443,P0042,S,546,2011/07/08 05:00:00+00,4579245603,7/8/2011 5:00 AM,MD,P0042_S,07/08/2011 05:00 AM,07/08/2011 05:00
527444,P0042,S,1268,2011/07/08 06:00:00+00,4579245603,7/8/2011 6:00 AM,MD,P0042_S,07/08/2011 06:00 AM,07/08/2011 06:00
527445,P0042,S,1992,2011/07/08 07:00:00+00,4579245603,7/8/2011 7:00 AM,MD,P0042_S,07/08/2011 07:00 AM,07/08/2011 07:00
527446,P0042,S,2057,2011/07/08 08:00:00+00,4579245603,7/8/2011 8:00 AM,MD,P0042_S,07/08/2011 08:00 AM,07/08/2011 08:00
527447,P0042,S,1679,2011/07/08 09:00:00+00,4579245603,7/8/2011 9:00 AM,MD,P0042_S,07/08/2011 09:00 AM,07/08/2011 09:00
527448,P0042,S,1698,2011/07/08 10:00:00+00,4579245603,7/8/2011 10:00 AM,MD,P0042_S,07/08/2011 10:00 AM,07/08/2011 10:00
